a1,a2,a3,a4,a5,a5,a7
-1.516257270850474e-05,4.547392018139362e-05,-5.30483084730804e-05,0.00015157053712755442,0.000339531252393499,8.337345207110047e-05,-1.5148775673878845e-05
1.5017691112007014e-05,3.004905920533929e-05,0.0,0.0008715184521861374,0.004387682303786278,-1.5031368093332276e-05,0.0
-1.4875582564854994e-05,2.2306605387711897e-05,-0.00018588386592455208,0.0017324300715699792,0.007899267598986626,-4.4599677494261414e-05,7.431023277604254e-06
7.641545380465686e-06,7.627651939401403e-06,-0.001831692410632968,0.0010074196616187692,0.005250847898423672,-6.104900239733979e-05,2.2896849259268492e-05
2.2846386855235323e-05,7.6149997767061e-05,-0.001911416300572455,0.003906607162207365,0.014925854280591011,0.0012260524090379477,2.2846386855235323e-05
7.466562237823382e-05,-1.4938562344468664e-05,0.0005002719117328525,0.0016949627315625548,0.012114115990698338,0.01586691476404667,5.972706276224926e-05
2.5849699341051746e-06,1.808773413358722e-05,0.0003178454644512385,-0.0003669434227049351,0.001676565851084888,0.004576450679451227,-2.5849699341051746e-06
-1.8794664356391877e-05,-4.337432528700447e-06,0.012284677475690842,-0.006557995453476906,0.021351074799895287,0.03291431814432144,2.8898671189381275e-06
3.787071182159707e-05,-1.5137256013986189e-05,0.011071717366576195,0.002567240037024021,0.020307723432779312,0.020909031853079796,0.0
-0.00017752441635821015,9.68341701081954e-05,0.0067458986304700375,0.004131463821977377,0.0007875532610341907,0.017857281491160393,2.420854252704885e-05
0.0,9.819131810218096e-05,-0.0007200498366728425,-0.002111053792759776,-3.9276528696063906e-05,0.01881125010550022,1.6370184312108904e-05
0.0,0.0003627598052844405,-0.006669812835752964,-0.004295379389077425,0.000474874657811597,0.02029799483716488,1.6494539522682317e-05
0.0,0.0003627598052844405,-0.006669812835752964,-0.004295379389077425,0.000474874657811597,0.02029799483716488,1.6494539522682317e-05
0.0,-6.203322118381038e-05,2.3246577256941237e-05,0.0006512852851301432,0.0014762183418497443,0.0010622006375342607,1.551183231640607e-05
-1.5485593394259922e-05,-7.735750841675326e-06,0.0004644127911888063,0.0004411914269439876,0.006167408544570208,0.0009675184264779091,0.0
3.8581729313591495e-05,0.0,0.002477464033290744,2.3140606572269462e-05,0.01439866703003645,0.0038975835777819157,2.315465644642245e-05
0.0,-1.6130859876284376e-05,0.006038988474756479,0.0014754818985238671,0.014796732924878597,0.017633186653256416,0.0
0.0,-0.0006149113760329783,0.0057417708449065685,0.007186830043792725,0.013823291286826134,0.014135363511741161,-2.306005080754403e-05
-0.00010047415707958862,-0.005317490082234144,0.012466716580092907,0.012845439836382866,0.006220218259841204,0.023944154381752014,1.5448904377990402e-05
